32-3-6-4 λόγος
32-3-6-5 πρὸς
32-3-6-6 τὸν
32-3-6-7 βασιλέα
32-3-6-8 τῆς
32-3-6-9 Νινευή·
32-3-6-10 καὶ
32-3-6-11 ἐξανέστη
32-3-6-12 ἀπὸ
32-3-6-13 τοῦ
32-3-6-14 θρόνου
32-3-6-15 αὐτοῦ,
32-3-6-16 καὶ
32-3-6-17 περιείλατο
32-3-6-18 τὴν
32-3-6-19 στολὴν
32-3-6-20 αὐτοῦ
32-3-6-21 ἀφ’
32-3-6-22 ἑαυτοῦ,
32-3-6-23 καὶ
32-3-6-24 περιεβάλετο
32-3-6-25 σάκκον,
32-3-6-26 καὶ
32-3-6-27 ἐκάθισεν
32-3-6-28 ἐπὶ
32-3-6-29 σποδοῦ.
32-3-7-1 Καὶ
32-3-7-2 ἐκηρύχθη,
32-3-7-3 καὶ
32-3-7-4 ἐῤῥέθη
32-3-7-5 ἐν
32-3-7-6 τῇ
32-3-7-7 Νινευὴ
32-3-7-8 παρὰ
32-3-7-9 τοῦ
32-3-7-10 βασιλέως
32-3-7-11 καὶ
32-3-7-12 παρὰ
32-3-7-13 τῶν
32-3-7-14 μεγιστάνων
32-3-7-15 αὐτοῦ,
32-3-7-16 λέγων·
32-3-7-17 οἱ
32-3-7-18 ἄνθρωποι
32-3-7-19 καὶ
32-3-7-20 τὰ
32-3-7-21 κτήνη,
32-3-7-22 καὶ
32-3-7-23 οἱ
32-3-7-24 βόες,
32-3-7-25 καὶ
32-3-7-26 τὰ
32-3-7-27 πρόβατα
32-3-7-28 μὴ
32-3-7-29 γευέσθωσαν
32-3-7-30 μηθὲν,
32-3-7-31 μηδὲ
32-3-7-32 νεμέσθωσαν,
32-3-7-33 μηδὲ
32-3-7-34 ὕδωρ
32-3-7-35 πιέτωσαν.
32-3-8-1 Καὶ
32-3-8-2 περιεβάλοντο
32-3-8-3 σάκκους
32-3-8-4 οἱ
32-3-8-5 ἄνθρωποι
32-3-8-6 καὶ
32-3-8-7 τὰ
32-3-8-8 κτήνη,
32-3-8-9 καὶ
32-3-8-10 ἀνεβόησαν
32-3-8-11 πρὸς
32-3-8-12 τὸν
32-3-8-13 θεὸν
32-3-8-14 ἐκτενῶς·
32-3-8-15 καὶ
32-3-8-16 ἀπέστρεψεν
32-3-8-17 ἕκαστος
32-3-8-18 ἀπὸ
32-3-8-19 τῆς
32-3-8-20 ὁδοῦ
32-3-8-21 αὐτοῦ
32-3-8-22 τῆς
32-3-8-23 πονηρᾶς,
32-3-8-24 καὶ
32-3-8-25 ἀπὸ
32-3-8-26 τῆς
32-3-8-27 ἀδικίας
32-3-8-28 τῆς
32-3-8-29 ἐν
32-3-8-30 χερσὶν
32-3-8-31 αὐτῶν,
32-3-8-32 λέγοντες·
32-3-9-1 τίς
32-3-9-2 οἶδεν
32-3-9-3 εἰ
32-3-9-4 μετανοήσει
32-3-9-5 ὁ
32-3-9-6 θεὸς,
32-3-9-7 καὶ
32-3-9-8 ἀποστρέψει
32-3-9-9 ἐξ
32-3-9-10 ὀργῆς
32-3-9-11 θυμοῦ
32-3-9-12 αὐτοῦ,
32-3-9-13 καὶ
32-3-9-14 οὐ
32-3-9-15 μὴ
32-3-9-16 ἀπολώμεθα;
32-3-10-1 Καὶ
32-3-10-2 εἶδεν
32-3-10-3 ὁ
32-3-10-4 θεὸς
32-3-10-5 τὰ
32-3-10-6 ἔργα
32-3-10-7 αὐτῶν,
32-3-10-8 ὅτι
32-3-10-9 ἀπέστρεψαν
32-3-10-10 ἀπὸ
32-3-10-11 τῶν
32-3-10-12 ὁδῶν
32-3-10-13 αὐτῶν
32-3-10-14 τῶν
32-3-10-15 πονηρῶν·
32-3-10-16 καὶ
32-3-10-17 μετενόησεν
32-3-10-18 ὁ
32-3-10-19 θεὸς
32-3-10-20 ἐπὶ
32-3-10-21 τὰ
32-3-10-22 κακὰ,
32-3-10-23 ἂ
32-3-10-24 ἐλάλησεν
32-3-10-25 τοῦ
32-3-10-26 ποιῆσαι
32-3-10-27 αὐτοῖς,
32-3-10-28 καὶ
32-3-10-29 οὐκ
32-3-10-30 ἐποίησεν.
32-4-1-1 Καὶ
32-4-1-2 ἐλυπήθη
32-4-1-3 Ἰωνᾶς
32-4-1-4 λύπην
32-4-1-5 μεγάλην,
32-4-1-6 καὶ
32-4-1-7 συνεχύθη·
32-4-2-1 καὶ
32-4-2-2 προσηύξατο
32-4-2-3 πρὸς
32-4-2-4 Κύριον,
32-4-2-5 καὶ
32-4-2-6 εἶπεν·
32-4-2-7 ὦ
32-4-2-8 δή·
32-4-2-9 Κύριε,
32-4-2-10 οὐχ
32-4-2-11 οὗτοι
32-4-2-12 οἱ
32-4-2-13 λόγοι
32-4-2-14 μου,
32-4-2-15 οὓς
32-4-2-16 ἐλάλησα
32-4-2-17 ἔτι
32-4-2-18 ὄντος
32-4-2-19 μου
32-4-2-20 ἐν
32-4-2-21 τῇ
32-4-2-22 γῇ
32-4-2-23 μου;
32-4-2-24 διὰ
32-4-2-25 τοῦτο
32-4-2-26 προέφθασα
32-4-2-27 τοῦ
32-4-2-28 φυγεῖν
32-4-2-29 εἰς
32-4-2-30 Θαρσεὶς,
32-4-2-31 διότι
32-4-2-32 ἔγνων,
32-4-2-33 ὅτι
32-4-2-34 σὺ
32-4-2-35 ἐλεήμων
32-4-2-36 καὶ
32-4-2-37 οἰκτίρμων,
32-4-2-38 μακρόθυμος
32-4-2-39 καὶ
32-4-2-40 πολυέλεος,
32-4-2-41 καὶ
32-4-2-42 μετανοῶν
32-4-2-43 ἐπὶ
32-4-2-44 ταῖς
32-4-2-45 κακίαις.
32-4-3-1 Καὶ
32-4-3-2 νῦν,
32-4-3-3 δέσποτα
32-4-3-4 Κύριε,
32-4-3-5 λάβε
32-4-3-6 τὴν
32-4-3-7 ψυχήν
32-4-3-8 μου
32-4-3-9 ἀπ’
32-4-3-10 ἐμοῦ,
32-4-3-11 ὅτι
32-4-3-12 καλὸν
32-4-3-13 τὸ
32-4-3-14 ἀποθανεῖν
32-4-3-15 με
32-4-3-16 ἢ
32-4-3-17 ζῇν
32-4-3-18 με.
32-4-4-1 Καὶ
32-4-4-2 εἶπεν
32-4-4-3 Κύριος
32-4-4-4 πρὸς
32-4-4-5 Ἰωνᾶν·
32-4-4-6 εἰ
32-4-4-7 σφόδρα
32-4-4-8 λελύπησαι
32-4-4-9 σύ;
32-4-5-1 Καὶ
32-4-5-2 ἐξῆλθεν
32-4-5-3 Ἰωνᾶς
32-4-5-4 ἐκ
32-4-5-5 τῆς
32-4-5-6 πόλεως·
32-4-5-7 καὶ
32-4-5-8 ἐκάθισεν
32-4-5-9 ἀπέναντι
32-4-5-10 τῆς
32-4-5-11 πόλεως·
32-4-5-12 καὶ
32-4-5-13 ἐποίησεν
32-4-5-14 ἐκεῖ
32-4-5-15 σκηνὴν
32-4-5-16 ἑαυτῷ,
32-4-5-17 καὶ
32-4-5-18 ἐκάθητο
32-4-5-19 ὑποκάτω
32-4-5-20 αὐτῆς
32-4-5-21 ἐν
32-4-5-22 σκιᾷ,
32-4-5-23 ἕως
32-4-5-24 οὗ
32-4-5-25 ἀφίδῃ
32-4-5-26 τί
32-4-5-27 ἔσται
