08-1-21-22 ἐκάκωσέ
08-1-21-23 με;
08-1-22-1 Καὶ
08-1-22-2 ἐπέστρεψεν
08-1-22-3 Νοομμεὶν
08-1-22-4 καὶ
08-1-22-5 Ῥοὺθ
08-1-22-6 ἡ
08-1-22-7 Μωαβίτιςις
08-1-22-8 ἡ
08-1-22-9 νύμφη
08-1-22-10 αὐτῆς
08-1-22-11 μετ’
08-1-22-12 αυτης,
08-1-22-13 ἐπιστρέφουσα
08-1-22-14 ἐξ
08-1-22-15 ἀγροῦ
08-1-22-16 Μωάβ·
08-1-22-17 αὗται
08-1-22-18 δὲ
08-1-22-19 παρεγενήθησαν
08-1-22-20 εἰς
08-1-22-21 Βηθλεὲμ
08-1-22-22 ἐν
08-1-22-23 ἀρχῇ
08-1-22-24 θερισμοῦ
08-1-22-25 κριθῶν.
08-2-1-1 Καὶ
08-2-1-2 τῇ
08-2-1-3 Νωεμεὶν
08-2-1-4 ἀνὴρ
08-2-1-5 γνώριμος
08-2-1-6 τῷ
08-2-1-7 ἀνδρὶ
08-2-1-8 αὐτῆς·
08-2-1-9 ὁ
08-2-1-10 δὲ
08-2-1-11 ἀνὴρ
08-2-1-12 δυνατὸς
08-2-1-13 ἐν
08-2-1-14 ἰσχύι
08-2-1-15 ἐκ
08-2-1-16 τῆς
08-2-1-17 συγγενίας
08-2-1-18 Ἀλιμέλεχ,
08-2-1-19 καὶ
08-2-1-20 ὄνομα
08-2-1-21 αὐτῷ
08-2-1-22 Βοὸς.
08-2-2-1 Καὶ
08-2-2-2 εἶπεν
08-2-2-3 Ῥοὺθ
08-2-2-4 ἡ
08-2-2-5 Μωαβίτις
08-2-2-6 πρὸς
08-2-2-7 Νομεί·
08-2-2-8 πορευθῶ
08-2-2-9 δὴ
08-2-2-10 εἰς
08-2-2-11 ἀγρόν,
08-2-2-12 καὶ
08-2-2-13 συνάξω
08-2-2-14 ἐν
08-2-2-15 τοῖς
08-2-2-16 στάχυσιν
08-2-2-17 κατόπισθεν
08-2-2-18 οὗ
08-2-2-19 ἐὰν
08-2-2-20 εὕρω
08-2-2-21 χάριν
08-2-2-22 ἐν
08-2-2-23 ὀφθαλμοῖς
08-2-2-24 αὐτοῦ.
08-2-2-25 Εἶπεν
08-2-2-26 δὲ
08-2-2-27 αὐτῇ·
08-2-2-28 πορεύου
08-2-2-29 θυγάτηρ.
08-2-3-1 Καὶ
08-2-3-2 ἐπορεύθη,
08-2-3-3 καὶ
08-2-3-4 ἐλθοῦσα
08-2-3-5 συνέλεξεν
08-2-3-6 ἐν
08-2-3-7 τῷ
08-2-3-8 ἀγρῷ
08-2-3-9 ὄπισθεν
08-2-3-10 τῶν
08-2-3-11 θεριζόντων·
08-2-3-12 καὶ
08-2-3-13 περιέπεσεν
08-2-3-14 περιπτώματι
08-2-3-15 τῇ
08-2-3-16 μερίδι
08-2-3-17 τοῦ
08-2-3-18 ἀγροῦ
08-2-3-19 Βοὸς
08-2-3-20 τοῦ
08-2-3-21 ἐκ
08-2-3-22 συγγενείας
08-2-3-23 Ἀλιμέλεχ.
08-2-4-1 Καὶ
